investor_name,roles,domain,country_code,state_code,region,city,investor_type,investment_count,total_funding_usd,founded_on,closed_on,cb_url,logo_url,twitter_url,facebook_url,uuid,updated_at
"EASME - EU Executive Agency for SMEs,""company,investor"",ec.europa.eu,BEL,,11,Brussels,,2607,2373612.0,2014-01-01,,https://www.crunchbase.com/organization/easme,""https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/cdkjbgppt8nstvla1b2r"",https://twitter.com/eu_easme,https://www.facebook.com/EnterpriseEuropeNetworkEU/,1d0c86bf-c986-6b40-d757-4d97cdd5d877,2018-05-17 15:09:51"
"Y Combinator,investor,ycombinator.com,USA,CA,CA,Mountain View,accelerator,1755,25250000.0,2005-03-01,,https://www.crunchbase.com/organization/y-combinator,""https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1482160613/skm38vnvyl0wpgfyz98v.png"",http://twitter.com/ycombinator,http://www.facebook.com/YCombinator,73633ee4-ea65-2967-6c5d-9b5fec7d2d5e,2018-04-17 16:49:18"
"500 Startups,investor,500.co,USA,CA,CA,Mountain View,accelerator,1663,2013000.0,2010-04-01,,https://www.crunchbase.com/organization/500-startups,""https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1400109019/ehscebzgx2cvshmw9vxb.jpg"",http://twitter.com/500startups,http://www.facebook.com/500startups,56e40f50-97c7-2a77-255d-1d97d5f30646,2018-02-12 22:14:44"


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































